category	FROM	TO	evidence	source
TF-miRNA	MECP2	hsa-mir-137	Experimental	PMID20584335
TF-miRNA	KLF2	hsa-mir-126	Experimental	PMID20584335
TF-miRNA	IL6	hsa-mir-519c	Experimental	PMID20584335
TF-miRNA	IL4	hsa-mir-29a	Experimental	PMID20584335
TF-miRNA	PDGFB	hsa-mir-29a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-29a	Experimental	PMID20584335
TF-miRNA	NR1H4	hsa-mir-34a	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-125b	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-155	Experimental	PMID20584335
TF-miRNA	HIF1A	hsa-mir-372	Experimental	PMID20584335
TF-miRNA	HIF1A	hsa-mir-373	Experimental	PMID20584335
TF-miRNA	TWIST1	hsa-mir-372	Experimental	PMID20584335
TF-miRNA	TWIST1	hsa-mir-373	Experimental	PMID20584335
TF-miRNA	KRAS	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	NRAS	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	HRAS	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	IL6	hsa-mir-148a	Experimental	PMID20584335
TF-miRNA	IL6	hsa-mir-152	Experimental	PMID20584335
TF-miRNA	IL6	hsa-mir-301	Experimental	PMID20584335
TF-miRNA	BMPR1A	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	BMPR1B	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-224	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-1	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-133a	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-133b	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-206	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-455	Experimental	PMID20584335
TF-miRNA	TNFSF12	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	MYCN	hsa-mir-421	Experimental	PMID20584335
TF-miRNA	NFRKB	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	MYC	hsa-mir-141	Experimental	PMID20584335
TF-miRNA	PLUNC	hsa-mir-141	Experimental	PMID20584335
TF-miRNA	CDK2	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK3	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK4	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK5	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK6	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK7	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK8	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	CDK9	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	RB1	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-449	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-223	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-181b	Experimental	PMID20584335
TF-miRNA	KCNG1	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	PDGFA	hsa-mir-24	Experimental	PMID20584335
TF-miRNA	STAT5A	hsa-mir-15	Experimental	PMID20584335
TF-miRNA	STAT5A	hsa-mir-16	Experimental	PMID20584335
TF-miRNA	CEBPA	hsa-mir-223	Experimental	PMID20584335
TF-miRNA	MYC	hsa-mir-200	Experimental	PMID20584335
TF-miRNA	MYC	hsa-mir-429	Experimental	PMID20584335
TF-miRNA	TNF	hsa-mir-31	Experimental	PMID20584335
TF-miRNA	TNF	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	AKT1	hsa-let-7e	Experimental	PMID20584335
TF-miRNA	AKT1	hsa-mir-181c	Experimental	PMID20584335
TF-miRNA	AKT1	hsa-mir-155	Experimental	PMID20584335
TF-miRNA	AKT1	hsa-mir-125b	Experimental	PMID20584335
TF-miRNA	SMAD3	hsa-mir-451	Experimental	PMID20584335
TF-miRNA	LIN28B	hsa-let-7g	Experimental	PMID20584335
TF-miRNA	ADAR	hsa-mir-376a	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-18a	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-19a	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-19b	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-20a	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-92a	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-106a	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-18b	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-20b	Experimental	PMID20584335
TF-miRNA	ESR1	hsa-mir-363	Experimental	PMID20584335
TF-miRNA	STAT3	hsa-mir-21	Experimental	PMID20584335
TF-gene	PARP1	CXCL1	Experimental	PMID20584335
