mirna	specific process
hsa-mir-9	Inflammation
hsa-mir-98	Inflammation
hsa-mir-1	Muscle development
hsa-mir-24	Muscle development
hsa-mir-206	Muscle development
hsa-mir-222	Muscle development
hsa-mir-221	Muscle development
hsa-mir-124	Muscle development
hsa-mir-499	Muscle development
hsa-mir-23a	Muscle development
hsa-mir-208b	Muscle development
hsa-mir-133a	Muscle development
hsa-mir-133b	Muscle development
hsa-mir-143	Folliculogenesis
hsa-let-7a	Folliculogenesis
hsa-mir-125b	Folliculogenesis
hsa-let-7b	Folliculogenesis
hsa-let-7c	Folliculogenesis
hsa-mir-21	Folliculogenesis
hsa-mir-15b	Folliculogenesis
hsa-mir-122	lipid metabolism
hsa-mir-33a	lipid metabolism
hsa-mir-33b	lipid metabolism
hsa-mir-370	lipid metabolism
hsa-mir-375	lipid metabolism
hsa-mir-335	lipid metabolism
hsa-mir-378	lipid metabolism
hsa-mir-27a	lipid metabolism
hsa-mir-27b	lipid metabolism
hsa-mir-125a	lipid metabolism
hsa-mir-103	lipid metabolism
hsa-mir-196a	lipid metabolism
hsa-mir-196b	lipid metabolism
hsa-mir-296	lipid metabolism
hsa-mir-98	lipid metabolism
hsa-mir-143	lipid metabolism
hsa-mir-107	lipid metabolism
hsa-mir-34a	lipid metabolism
hsa-mir-181d	lipid metabolism
hsa-mir-10b	lipid metabolism
hsa-mir-103	brain development
hsa-mir-124a	brain development
hsa-mir-124b	brain development
hsa-mir-135	brain development
hsa-mir-323	brain development
hsa-mir-156	brain development
hsa-mir-218	brain development
hsa-mir-326	brain development
hsa-mir-329	brain development
hsa-mir-344	brain development
hsa-mir-192	brain development
hsa-mir-17	brain development
hsa-mir-18a	brain development
hsa-mir-29c	brain development
hsa-mir-106a	brain development
hsa-mir-106b	brain development
hsa-mir-135a	brain development
hsa-mir-221	brain development
hsa-mir-222	brain development
hsa-mir-134	brain development
hsa-mir-184	brain development
hsa-mir-9	brain development
hsa-mir-20a	brain development
hsa-mir-128	brain development
hsa-mir-133b	brain development
hsa-mir-103	hematopoiesis
