mirna	specific process
mmu-mir-379	Human embryonic stem cell (hESC) regulation
mmu-mir-427	Human embryonic stem cell (hESC) regulation
mmu-mir-429	Human embryonic stem cell (hESC) regulation
mmu-mir-430	Human embryonic stem cell (hESC) regulation
mmu-mir-451	Human embryonic stem cell (hESC) regulation
mmu-mir-470	Human embryonic stem cell (hESC) regulation
mmu-mir-486	Human embryonic stem cell (hESC) regulation
mmu-mir-489	Human embryonic stem cell (hESC) regulation
mmu-mir-9	Human embryonic stem cell (hESC) regulation
mmu-mir-93	Human embryonic stem cell (hESC) regulation
mmu-let-7g	Immune response
mmu-let-7i	Immune response
mmu-mir-100	Immune response
mmu-mir-101	Immune response
mmu-mir-105	Immune response
mmu-mir-125b	Immune response
mmu-mir-126	Immune response
mmu-mir-132	Immune response
mmu-mir-140	Immune response
mmu-mir-143	Immune response
mmu-mir-146a	Immune response
mmu-mir-146b	Immune response
mmu-mir-147	Immune response
mmu-mir-150	Immune response
mmu-mir-155	Immune response
mmu-mir-15a	Immune response
mmu-mir-16	Immune response
mmu-mir-17	Immune response
mmu-mir-181	Immune response
mmu-mir-181a	Immune response
mmu-mir-186	Immune response
mmu-mir-188	Immune response
mmu-mir-18a	Immune response
mmu-mir-192	Immune response
mmu-mir-196	Immune response
mmu-mir-199	Immune response
mmu-mir-19a	Immune response
mmu-mir-19b	Immune response
mmu-mir-203	Immune response
mmu-mir-20a	Immune response
mmu-mir-21	Immune response
mmu-mir-223	Immune response
mmu-mir-25	Immune response
mmu-mir-27b	Immune response
mmu-mir-31	Immune response
mmu-mir-320	Immune response
mmu-mir-328	Immune response
mmu-mir-342	Immune response
mmu-mir-370	Immune response
mmu-mir-424	Immune response
mmu-mir-449b	Immune response
mmu-mir-500	Immune response
mmu-mir-590	Immune response
mmu-mir-710	Immune response
mmu-mir-9	Immune response
mmu-mir-92a	Immune response
mmu-mir-98	Immune response
mmu-mir-103	Immune response
mmu-let-7g	Inflammation
mmu-mir-1	Inflammation
mmu-mir-100	Inflammation
mmu-mir-105	Inflammation
mmu-mir-1224	Inflammation
mmu-mir-125b	Inflammation
mmu-mir-126	Inflammation
mmu-mir-132	Inflammation
mmu-mir-133a	Inflammation
mmu-mir-140	Inflammation
mmu-mir-143	Inflammation
mmu-mir-146a	Inflammation
mmu-mir-146b	Inflammation
mmu-mir-147	Inflammation
mmu-mir-150	Inflammation
mmu-mir-155	Inflammation
mmu-mir-17	Inflammation
mmu-mir-181a	Inflammation
mmu-mir-182	Inflammation
mmu-mir-183	Inflammation
mmu-mir-188	Inflammation
mmu-mir-192	Inflammation
mmu-mir-196	Inflammation
mmu-mir-199	Inflammation
mmu-mir-199a	Inflammation
mmu-mir-203	Inflammation
mmu-mir-21	Inflammation
mmu-mir-223	Inflammation
mmu-mir-25	Inflammation
mmu-mir-27b	Inflammation
mmu-mir-31	Inflammation
mmu-mir-320	Inflammation
mmu-mir-328	Inflammation
mmu-mir-342	Inflammation
mmu-mir-370	Inflammation
mmu-mir-449b	Inflammation
mmu-mir-500	Inflammation
mmu-mir-705	Inflammation
mmu-mir-710	Inflammation
mmu-mir-9	Inflammation
mmu-mir-98	Inflammation
mmu-mir-1	Muscle development
mmu-mir-24	Muscle development
mmu-mir-206	Muscle development
mmu-mir-222	Muscle development
mmu-mir-221	Muscle development
mmu-mir-124	Muscle development
mmu-mir-499	Muscle development
mmu-mir-23a	Muscle development
mmu-mir-208b	Muscle development
mmu-mir-133a	Muscle development
mmu-mir-133b	Muscle development
mmu-mir-143	Folliculogenesis
mmu-let-7a	Folliculogenesis
mmu-mir-125b	Folliculogenesis
mmu-let-7b	Folliculogenesis
mmu-let-7c	Folliculogenesis
mmu-mir-21	Folliculogenesis
mmu-mir-15b	Folliculogenesis
mmu-mir-122	lipid metabolism
mmu-mir-33a	lipid metabolism
mmu-mir-33b	lipid metabolism
mmu-mir-370	lipid metabolism
mmu-mir-375	lipid metabolism
mmu-mir-335	lipid metabolism
mmu-mir-378	lipid metabolism
mmu-mir-27a	lipid metabolism
mmu-mir-27b	lipid metabolism
mmu-mir-125a	lipid metabolism
mmu-mir-103	lipid metabolism
mmu-mir-196a	lipid metabolism
mmu-mir-196b	lipid metabolism
mmu-mir-296	lipid metabolism
mmu-mir-98	lipid metabolism
